                    PURCHA5E REQUISITI0N                    PAGE 1 0F 1

  ST MARY'S REGI0NAL HEALTH                    REQ N0.  R-2026-08812
  CEDAR FALLS CAMPUS                           DATE     08/03/2026
  D0CK 3                                       GP0 MBR  RMP-10442

  QTY  U/M  DESCRIPTI0N
  ---  ---  -------------------------------------------------------
   24  EA   HEAVY DUTY STEEL SHELVlNG 48X24X72 5 SHELF HDS-4824-72
    6  EA   PALLET JACK MANUAL 55OO LB 27X48 F0RKS
   40  BX   NlTRILE EXAM GL0VES P0WDER FREE LARGE
   12  EA   DRUM D0LLY 55 GAL
  200  PR   SAFETY GLASSES CLEAR ANTI-F0G
    4  CS   NEUTRAL FL00R CLEANER C0NC 4X1 GAL
   30  EA   LED HlGH BAY 15OW 5OOOK
    2  EA   xxxx llegible xxxx  BRACKET ASSY

  AUTH0RIZED BY: M. WEBB              TAX EXEMPT: Y  CERT 0N FILE
