St Mary's Regional Health - Q3 Facility Restock,,,,
Prepared by: M. Webb,,,,
Member ID:,RMP-10442,,,
Ship To:,Cedar Falls Campus - Dock 3,,,
,,,,
Line,Description,Qty,Unit,Notes
1,"Steel shelving 48"" x 24"" x 72"" 5 shelf",24,EA,part HDS-4824-72
2,"Pallet jack manual 5500lb 27x48 forks",6,EA,
3,"Nitrile gloves powder free large",40,BX,"substitute OK if same ANSI rating"
4,"Drum dolly 55 gallon",12,EA,
5,"Safety glasses clear anti fog",200,PR,
6,"Neutral floor cleaner concentrate 4x1gal",4,CS,
7,"LED high bay 150W 5000K",30,EA,
,,,,
,,TOTAL LINES,7,
